round_index,proposal_index,generated_index_before_step,draft_token_id,target_greedy_token_id,accepted_greedy,draft_entropy_nats,draft_top1_prob,target_entropy_nats,target_top1_prob,prompt_index,dataset_id,category,source_dataset,source_id,prompt_hash,token_record_index
17,1,18,29937,1678,0,6.344086647033691,0.09663784503936768,0.01079384796321392,0.9987611770629883,0,mbpp,code,mbpp,train_236,e1df85051603eed81d742b710f848b223a7ae2d9,18
18,1,19,396,1209,0,1.6837668418884277,0.8003094792366028,0.6741735339164734,0.7823989391326904,0,mbpp,code,mbpp,train_236,e1df85051603eed81d742b710f848b223a7ae2d9,19
19,1,20,29918,13,0,5.817736625671387,0.07901953905820847,0.0009635371970944107,0.9999155402183533,0,mbpp,code,mbpp,train_236,e1df85051603eed81d742b710f848b223a7ae2d9,20
20,1,21,29937,28956,0,6.211117744445801,0.06529141962528229,0.003584246849641204,0.9996046423912048,0,mbpp,code,mbpp,train_236,e1df85051603eed81d742b710f848b223a7ae2d9,21
21,1,22,4691,13,0,4.977461338043213,0.3356877565383911,0.008575020357966423,0.9989529848098755,0,mbpp,code,mbpp,train_236,e1df85051603eed81d742b710f848b223a7ae2d9,22
22,1,23,29930,13,0,6.423370838165283,0.06166804954409599,0.3802030384540558,0.9308879971504211,0,mbpp,code,mbpp,train_236,e1df85051603eed81d742b710f848b223a7ae2d9,23
23,1,24,458,1252,0,6.3919878005981445,0.06594400852918625,0.5741386413574219,0.9196107387542725,0,mbpp,code,mbpp,train_236,e1df85051603eed81d742b710f848b223a7ae2d9,24
24,1,25,9422,6021,0,4.096683502197266,0.15216749906539917,0.41148367524147034,0.8999819159507751,0,mbpp,code,mbpp,train_236,e1df85051603eed81d742b710f848b223a7ae2d9,25
25,1,26,29918,1962,0,5.964201927185059,0.14670099318027496,0.7943563461303711,0.5483526587486267,0,mbpp,code,mbpp,train_236,e1df85051603eed81d742b710f848b223a7ae2d9,26
26,1,27,29901,29901,1,4.6041364669799805,0.17720985412597656,0.029853064566850662,0.9962149262428284,0,mbpp,code,mbpp,train_236,e1df85051603eed81d742b710f848b223a7ae2d9,27
26,2,28,29871,13,0,5.811990737915039,0.214972123503685,0.06618398427963257,0.9910691976547241,0,mbpp,code,mbpp,train_236,e1df85051603eed81d742b710f848b223a7ae2d9,28
27,1,29,29930,28956,0,6.5981059074401855,0.06072947755455971,1.4515209197998047,0.34733107686042786,0,mbpp,code,mbpp,train_236,e1df85051603eed81d742b710f848b223a7ae2d9,29
28,1,30,4691,13,0,6.971288204193115,0.054889898747205734,0.2927117347717285,0.9375429153442383,0,mbpp,code,mbpp,train_236,e1df85051603eed81d742b710f848b223a7ae2d9,30
29,1,31,29930,2886,0,6.628618240356445,0.05794413760304451,1.3687663078308105,0.4763801097869873,0,mbpp,code,mbpp,train_236,e1df85051603eed81d742b710f848b223a7ae2d9,31
1,1,0,1576,1753,0,6.188317775726318,0.09656619280576706,0.5565041303634644,0.8577902317047119,1,mbpp,code,mbpp,train_24,8f228ae18b8185acf9ab388071c76d992e2876dc,0
2,1,1,1475,1006,0,4.55963134765625,0.28901058435440063,0.09165923297405243,0.9853079319000244,1,mbpp,code,mbpp,train_24,8f228ae18b8185acf9ab388071c76d992e2876dc,1
3,1,2,3167,3167,1,2.699814796447754,0.6413216590881348,0.009045403450727463,0.9990696310997009,1,mbpp,code,mbpp,train_24,8f228ae18b8185acf9ab388071c76d992e2876dc,2
3,2,3,937,29918,0,5.363114356994629,0.19592851400375366,0.08727455139160156,0.9832261800765991,1,mbpp,code,mbpp,train_24,8f228ae18b8185acf9ab388071c76d992e2876dc,3
4,1,4,978,4102,0,6.9201250076293945,0.020645998418331146,0.2847979962825775,0.942609429359436,1,mbpp,code,mbpp,train_24,8f228ae18b8185acf9ab388071c76d992e2876dc,4
5,1,5,322,29918,0,3.6939828395843506,0.351216197013855,0.0010033163707703352,0.999916672706604,1,mbpp,code,mbpp,train_24,8f228ae18b8185acf9ab388071c76d992e2876dc,5
6,1,6,322,4230,0,6.077350616455078,0.13985544443130493,0.4237416386604309,0.8499033451080322,1,mbpp,code,mbpp,train_24,8f228ae18b8185acf9ab388071c76d992e2876dc,6
7,1,7,29918,29898,0,3.9811267852783203,0.39032235741615295,0.0011864016996696591,0.9998964071273804,1,mbpp,code,mbpp,train_24,8f228ae18b8185acf9ab388071c76d992e2876dc,7
8,1,8,29879,1761,0,6.8282880783081055,0.04792534559965134,1.2323291301727295,0.6712830662727356,1,mbpp,code,mbpp,train_24,8f228ae18b8185acf9ab388071c76d992e2876dc,8
9,1,9,29897,1125,0,3.70253324508667,0.3006068170070648,0.014142689295113087,0.9984014630317688,1,mbpp,code,mbpp,train_24,8f228ae18b8185acf9ab388071c76d992e2876dc,9
10,1,10,450,13,0,6.852031707763672,0.04734686762094498,0.0016553746536374092,0.999853789806366,1,mbpp,code,mbpp,train_24,8f228ae18b8185acf9ab388071c76d992e2876dc,10
11,1,11,1576,1678,0,6.7267022132873535,0.05222640931606293,0.16331404447555542,0.9713141322135925,1,mbpp,code,mbpp,train_24,8f228ae18b8185acf9ab388071c76d992e2876dc,11
12,1,12,849,396,0,6.798991680145264,0.05387195944786072,0.3985753655433655,0.9246562719345093,1,mbpp,code,mbpp,train_24,8f228ae18b8185acf9ab388071c76d992e2876dc,12
13,1,13,29871,3575,0,6.579450607299805,0.0454414002597332,1.4093077182769775,0.550308883190155,1,mbpp,code,mbpp,train_24,8f228ae18b8185acf9ab388071c76d992e2876dc,13
14,1,14,775,775,1,6.721865653991699,0.04968027025461197,0.1866142302751541,0.9670991897583008,1,mbpp,code,mbpp,train_24,8f228ae18b8185acf9ab388071c76d992e2876dc,14
14,2,15,338,1244,0,4.832929611206055,0.14689654111862183,0.046646878123283386,0.9928923845291138,1,mbpp,code,mbpp,train_24,8f228ae18b8185acf9ab388071c76d992e2876dc,15
15,1,16,29889,13,0,3.6305861473083496,0.3229321837425232,0.020089466124773026,0.9976369142532349,1,mbpp,code,mbpp,train_24,8f228ae18b8185acf9ab388071c76d992e2876dc,16
16,1,17,29937,1678,0,6.329412460327148,0.08812254667282104,0.1443723440170288,0.9715883135795593,1,mbpp,code,mbpp,train_24,8f228ae18b8185acf9ab388071c76d992e2876dc,17
17,1,18,396,1209,0,1.6329196691513062,0.8118324279785156,0.837171733379364,0.6222885847091675,1,mbpp,code,mbpp,train_24,8f228ae18b8185acf9ab388071c76d992e2876dc,18
18,1,19,304,13,0,5.701869010925293,0.0554141104221344,0.002429467160254717,0.9997623562812805,1,mbpp,code,mbpp,train_24,8f228ae18b8185acf9ab388071c76d992e2876dc,19
19,1,20,29937,28956,0,6.153558254241943,0.06258632242679596,0.03649621829390526,0.9941717386245728,1,mbpp,code,mbpp,train_24,8f228ae18b8185acf9ab388071c76d992e2876dc,20
20,1,21,4691,13,0,5.804256916046143,0.21695387363433838,0.013762250542640686,0.9981749057769775,1,mbpp,code,mbpp,train_24,8f228ae18b8185acf9ab388071c76d992e2876dc,21
21,1,22,458,13,0,6.393243789672852,0.06181684508919716,0.4210667014122009,0.9368793368339539,1,mbpp,code,mbpp,train_24,8f228ae18b8185acf9ab388071c76d992e2876dc,22
22,1,23,458,1252,0,6.3491926193237305,0.07212772220373154,2.2480998039245605,0.4849730432033539,1,mbpp,code,mbpp,train_24,8f228ae18b8185acf9ab388071c76d992e2876dc,23
23,1,24,9422,6021,0,3.9859845638275146,0.11457721143960953,0.23330780863761902,0.9539671540260315,1,mbpp,code,mbpp,train_24,8f228ae18b8185acf9ab388071c76d992e2876dc,24
24,1,25,29918,1962,0,5.120241165161133,0.26483336091041565,0.8588206171989441,0.5597451329231262,1,mbpp,code,mbpp,train_24,8f228ae18b8185acf9ab388071c76d992e2876dc,25
25,1,26,29901,29901,1,4.58290433883667,0.16370168328285217,0.044887226074934006,0.9939578771591187,1,mbpp,code,mbpp,train_24,8f228ae18b8185acf9ab388071c76d992e2876dc,26
25,2,27,29871,13,0,5.862573623657227,0.18912912905216217,0.15529635548591614,0.9784481525421143,1,mbpp,code,mbpp,train_24,8f228ae18b8185acf9ab388071c76d992e2876dc,27
26,1,28,29930,13,0,6.588067054748535,0.047026779502630234,1.853489875793457,0.4899492561817169,1,mbpp,code,mbpp,train_24,8f228ae18b8185acf9ab388071c76d992e2876dc,28
27,1,29,458,28956,0,6.564918518066406,0.05053095519542694,1.57218337059021,0.6333625912666321,1,mbpp,code,mbpp,train_24,8f228ae18b8185acf9ab388071c76d992e2876dc,29
28,1,30,4691,4691,1,7.0608296394348145,0.03898322209715843,0.9244396090507507,0.5357037782669067,1,mbpp,code,mbpp,train_24,8f228ae18b8185acf9ab388071c76d992e2876dc,30
28,2,31,29918,13,0,4.645770072937012,0.33436137437820435,0.00016788195353001356,0.9999901056289673,1,mbpp,code,mbpp,train_24,8f228ae18b8185acf9ab388071c76d992e2876dc,31
1,1,0,450,1704,0,5.206181526184082,0.12618665397167206,0.8715436458587646,0.6234436631202698,2,gsm8k,math,gsm8k/main,train_889,af9dd478207b2db1f61cf8d0f051ce3acd9eb7d3,0
2,1,1,2546,2546,1,0.022422246634960175,0.9979870319366455,0.0012051365338265896,0.9998916387557983,2,gsm8k,math,gsm8k/main,train_889,af9dd478207b2db1f61cf8d0f051ce3acd9eb7d3,1
2,2,2,10753,4225,0,3.0792393684387207,0.4387662410736084,1.0591167211532593,0.6765103340148926,2,gsm8k,math,gsm8k/main,train_889,af9dd478207b2db1f61cf8d0f051ce3acd9eb7d3,2
3,1,3,304,304,1,1.9321868419647217,0.5868611335754395,0.013856538571417332,0.9981536269187927,2,gsm8k,math,gsm8k/main,train_889,af9dd478207b2db1f61cf8d0f051ce3acd9eb7d3,3
3,2,4,367,664,0,4.6649980545043945,0.12338648736476898,0.00338735687546432,0.9997040033340454,2,gsm8k,math,gsm8k/main,train_889,af9dd478207b2db1f61cf8d0f051ce3acd9eb7d3,4
4,1,5,373,29871,0,3.825227737426758,0.17524968087673187,0.45197993516921997,0.8484463095664978,2,gsm8k,math,gsm8k/main,train_889,af9dd478207b2db1f61cf8d0f051ce3acd9eb7d3,5
5,1,6,29906,29953,0,1.970941185951233,0.26648324728012085,2.0524041652679443,0.20724987983703613,2,gsm8k,math,gsm8k/main,train_889,af9dd478207b2db1f61cf8d0f051ce3acd9eb7d3,6
6,1,7,29900,11405,0,2.9668402671813965,0.276212215423584,1.284477949142456,0.5914642214775085,2,gsm8k,math,gsm8k/main,train_889,af9dd478207b2db1f61cf8d0f051ce3acd9eb7d3,7
7,1,8,29889,313,0,3.5517215728759766,0.12319263070821762,1.0374118089675903,0.628879725933075,2,gsm8k,math,gsm8k/main,train_889,af9dd478207b2db1f61cf8d0f051ce3acd9eb7d3,8
8,1,9,272,29947,0,5.315826892852783,0.0790330246090889,0.1346815973520279,0.9818644523620605,2,gsm8k,math,gsm8k/main,train_889,af9dd478207b2db1f61cf8d0f051ce3acd9eb7d3,9
9,1,10,3841,29900,0,3.1510725021362305,0.19261528551578522,0.0012639928609132767,0.9998934268951416,2,gsm8k,math,gsm8k/main,train_889,af9dd478207b2db1f61cf8d0f051ce3acd9eb7d3,10
10,1,11,3841,29900,0,2.9869959354400635,0.20366135239601135,0.004976388067007065,0.9995076656341553,2,gsm8k,math,gsm8k/main,train_889,af9dd478207b2db1f61cf8d0f051ce3acd9eb7d3,11
11,1,12,6199,448,0,3.8931586742401123,0.21048326790332794,0.8918915390968323,0.7475614547729492,2,gsm8k,math,gsm8k/main,train_889,af9dd478207b2db1f61cf8d0f051ce3acd9eb7d3,12
12,1,13,29871,29871,1,0.9586992263793945,0.8624318838119507,0.005905612371861935,0.9993859529495239,2,gsm8k,math,gsm8k/main,train_889,af9dd478207b2db1f61cf8d0f051ce3acd9eb7d3,13
12,2,14,29896,29906,0,2.006685256958008,0.2906806468963623,0.002467723563313484,0.9997700452804565,2,gsm8k,math,gsm8k/main,train_889,af9dd478207b2db1f61cf8d0f051ce3acd9eb7d3,14
13,1,15,29900,29946,0,2.877931594848633,0.2268102467060089,0.0003774511278606951,0.9999720454216003,2,gsm8k,math,gsm8k/main,train_889,af9dd478207b2db1f61cf8d0f051ce3acd9eb7d3,15
14,1,16,29900,29900,1,2.4138927459716797,0.4853205680847168,1.7756508896127343e-05,0.9999990463256836,2,gsm8k,math,gsm8k/main,train_889,af9dd478207b2db1f61cf8d0f051ce3acd9eb7d3,16
14,2,17,29900,353,0,0.7957126498222351,0.8983563184738159,0.6775331497192383,0.6579686999320984,2,gsm8k,math,gsm8k/main,train_889,af9dd478207b2db1f61cf8d0f051ce3acd9eb7d3,17
15,1,18,29871,29871,1,1.8469605445861816,0.5753015279769897,0.010316143743693829,0.9987064003944397,2,gsm8k,math,gsm8k/main,train_889,af9dd478207b2db1f61cf8d0f051ce3acd9eb7d3,18
15,2,19,29896,29945,0,2.147825241088867,0.23785211145877838,0.0020510435570031404,0.9998099207878113,2,gsm8k,math,gsm8k/main,train_889,af9dd478207b2db1f61cf8d0f051ce3acd9eb7d3,19
16,1,20,29900,29953,0,3.1383872032165527,0.22468622028827667,0.0005230213864706457,0.9999583959579468,2,gsm8k,math,gsm8k/main,train_889,af9dd478207b2db1f61cf8d0f051ce3acd9eb7d3,20
17,1,21,29900,29900,1,3.2153990268707275,0.21825215220451355,0.00011118983820779249,0.9999933242797852,2,gsm8k,math,gsm8k/main,train_889,af9dd478207b2db1f61cf8d0f051ce3acd9eb7d3,21
17,2,22,29897,29897,1,3.8002185821533203,0.20966149866580963,1.1459711790084839,0.6115684509277344,2,gsm8k,math,gsm8k/main,train_889,af9dd478207b2db1f61cf8d0f051ce3acd9eb7d3,22
17,3,23,304,304,1,3.948525905609131,0.2117929607629776,1.067598819732666,0.49934861063957214,2,gsm8k,math,gsm8k/main,train_889,af9dd478207b2db1f61cf8d0f051ce3acd9eb7d3,23
17,4,24,679,4078,0,4.245584487915039,0.19806528091430664,0.8708335757255554,0.7876079082489014,2,gsm8k,math,gsm8k/main,train_889,af9dd478207b2db1f61cf8d0f051ce3acd9eb7d3,24
18,1,25,395,3307,0,3.2658495903015137,0.1708318144083023,0.18433555960655212,0.9564453363418579,2,gsm8k,math,gsm8k/main,train_889,af9dd478207b2db1f61cf8d0f051ce3acd9eb7d3,25
19,1,26,6909,6909,1,2.7366082668304443,0.37084129452705383,0.007162896916270256,0.9991928339004517,2,gsm8k,math,gsm8k/main,train_889,af9dd478207b2db1f61cf8d0f051ce3acd9eb7d3,26
19,2,27,304,304,1,2.2932238578796387,0.41231557726860046,0.1758611500263214,0.960136353969574,2,gsm8k,math,gsm8k/main,train_889,af9dd478207b2db1f61cf8d0f051ce3acd9eb7d3,27
19,3,28,15649,15649,1,3.8098630905151367,0.30665111541748047,0.0588076151907444,0.9900833964347839,2,gsm8k,math,gsm8k/main,train_889,af9dd478207b2db1f61cf8d0f051ce3acd9eb7d3,28
19,4,29,263,278,0,2.001509428024292,0.5518304705619812,0.0453861840069294,0.9932022094726562,2,gsm8k,math,gsm8k/main,train_889,af9dd478207b2db1f61cf8d0f051ce3acd9eb7d3,29
20,1,30,18483,716,0,2.124324321746826,0.6429838538169861,0.6489542722702026,0.6511933207511902,2,gsm8k,math,gsm8k/main,train_889,af9dd478207b2db1f61cf8d0f051ce3acd9eb7d3,30
21,1,31,18483,18483,1,1.3717666864395142,0.789039671421051,3.437595296418294e-05,0.9999978542327881,2,gsm8k,math,gsm8k/main,train_889,af9dd478207b2db1f61cf8d0f051ce3acd9eb7d3,31
1,1,0,1576,1753,0,6.274997711181641,0.0868920236825943,0.4537690281867981,0.9052712321281433,3,mbpp,code,mbpp,train_113,22e5948c9444f10ffe302f7a12bbde416c154a44,0
2,1,1,1475,2302,0,4.434628486633301,0.26363277435302734,0.22537100315093994,0.9672624468803406,3,mbpp,code,mbpp,train_113,22e5948c9444f10ffe302f7a12bbde416c154a44,1
3,1,2,278,29918,0,2.58878755569458,0.6677108407020569,0.00442121084779501,0.9995532631874084,3,mbpp,code,mbpp,train_113,22e5948c9444f10ffe302f7a12bbde416c154a44,2
4,1,3,2798,5721,0,6.807864189147949,0.05276600643992424,1.135432481765747,0.4548102617263794,3,mbpp,code,mbpp,train_113,22e5948c9444f10ffe302f7a12bbde416c154a44,3
5,1,4,29918,5562,0,5.331311225891113,0.14560559391975403,0.08306404948234558,0.9862197041511536,3,mbpp,code,mbpp,train_113,22e5948c9444f10ffe302f7a12bbde416c154a44,4
6,1,5,29918,29918,1,3.8731679916381836,0.47357746958732605,0.0012848241021856666,0.9998728036880493,3,mbpp,code,mbpp,train_113,22e5948c9444f10ffe302f7a12bbde416c154a44,5
6,2,6,19790,12248,0,5.669180870056152,0.19561506807804108,0.746674656867981,0.6656249761581421,3,mbpp,code,mbpp,train_113,22e5948c9444f10ffe302f7a12bbde416c154a44,6
7,1,7,414,414,1,2.7060203552246094,0.40477949380874634,0.0260006096214056,0.9961948394775391,3,mbpp,code,mbpp,train_113,22e5948c9444f10ffe302f7a12bbde416c154a44,7
7,2,8,29918,29918,1,4.08138370513916,0.3918565511703491,0.6252646446228027,0.6919418573379517,3,mbpp,code,mbpp,train_113,22e5948c9444f10ffe302f7a12bbde416c154a44,8
7,3,9,2798,974,0,6.666349411010742,0.08574052155017853,0.004187263082712889,0.9996187686920166,3,mbpp,code,mbpp,train_113,22e5948c9444f10ffe302f7a12bbde416c154a44,9
8,1,10,29918,29918,1,0.5825574994087219,0.9393373727798462,0.005005254875868559,0.9994092583656311,3,mbpp,code,mbpp,train_113,22e5948c9444f10ffe302f7a12bbde416c154a44,10
8,2,11,2798,10080,0,6.636896133422852,0.04981403425335884,0.6232889890670776,0.790928304195404,3,mbpp,code,mbpp,train_113,22e5948c9444f10ffe302f7a12bbde416c154a44,11
9,1,12,29918,29918,1,2.1941347122192383,0.6560652852058411,0.02734634280204773,0.9957889318466187,3,mbpp,code,mbpp,train_113,22e5948c9444f10ffe302f7a12bbde416c154a44,12
9,2,13,19790,17028,0,2.9331891536712646,0.6264817714691162,0.45898953080177307,0.8574609160423279,3,mbpp,code,mbpp,train_113,22e5948c9444f10ffe302f7a12bbde416c154a44,13
10,1,14,29918,943,0,2.8124618530273438,0.43660837411880493,0.0005624344339594245,0.9999521374702454,3,mbpp,code,mbpp,train_113,22e5948c9444f10ffe302f7a12bbde416c154a44,14
11,1,15,29918,29898,0,2.927151679992676,0.48846253752708435,0.0001058421767083928,0.9999926090240479,3,mbpp,code,mbpp,train_113,22e5948c9444f10ffe302f7a12bbde416c154a44,15
12,1,16,29879,29876,0,6.5089263916015625,0.0940471738576889,0.036657579243183136,0.995064377784729,3,mbpp,code,mbpp,train_113,22e5948c9444f10ffe302f7a12bbde416c154a44,16
13,1,17,29897,1125,0,3.881403684616089,0.25832104682922363,0.0039069922640919685,0.9995989799499512,3,mbpp,code,mbpp,train_113,22e5948c9444f10ffe302f7a12bbde416c154a44,17
14,1,18,29871,13,0,6.322009086608887,0.10801392793655396,0.001685970346443355,0.9998481869697571,3,mbpp,code,mbpp,train_113,22e5948c9444f10ffe302f7a12bbde416c154a44,18
15,1,19,458,1678,0,6.698027610778809,0.04367205500602722,0.10682777315378189,0.9840811491012573,3,mbpp,code,mbpp,train_113,22e5948c9444f10ffe302f7a12bbde416c154a44,19
16,1,20,29896,2302,0,6.765065670013428,0.03234371170401573,0.9435486793518066,0.7467737793922424,3,mbpp,code,mbpp,train_113,22e5948c9444f10ffe302f7a12bbde416c154a44,20
17,1,21,29918,353,0,0.9001138806343079,0.9033641815185547,0.0013100418727844954,0.9998837113380432,3,mbpp,code,mbpp,train_113,22e5948c9444f10ffe302f7a12bbde416c154a44,21
18,1,22,29871,29871,1,5.306646347045898,0.2792227864265442,0.1639767438173294,0.9709294438362122,3,mbpp,code,mbpp,train_113,22e5948c9444f10ffe302f7a12bbde416c154a44,22
18,2,23,29896,29900,0,2.1159276962280273,0.3853798508644104,0.007301216945052147,0.9990885257720947,3,mbpp,code,mbpp,train_113,22e5948c9444f10ffe302f7a12bbde416c154a44,23
19,1,24,29889,13,0,3.368274688720703,0.4117075800895691,0.005104990676045418,0.9994662404060364,3,mbpp,code,mbpp,train_113,22e5948c9444f10ffe302f7a12bbde416c154a44,24
20,1,25,29930,1678,0,6.3114752769470215,0.05438808724284172,0.0013572823954746127,0.9998742938041687,3,mbpp,code,mbpp,train_113,22e5948c9444f10ffe302f7a12bbde416c154a44,25
21,1,26,2302,363,0,3.819680690765381,0.5360282063484192,0.5700721144676208,0.8862329125404358,3,mbpp,code,mbpp,train_113,22e5948c9444f10ffe302f7a12bbde416c154a44,26
22,1,27,29871,282,0,6.094960689544678,0.1186613216996193,0.7678337693214417,0.7203859090805054,3,mbpp,code,mbpp,train_113,22e5948c9444f10ffe302f7a12bbde416c154a44,27
23,1,28,353,297,0,5.9824347496032715,0.0719885304570198,0.0027884915471076965,0.9997463822364807,3,mbpp,code,mbpp,train_113,22e5948c9444f10ffe302f7a12bbde416c154a44,28
24,1,29,278,6019,0,6.570471286773682,0.09677664935588837,0.9755542874336243,0.723076343536377,3,mbpp,code,mbpp,train_113,22e5948c9444f10ffe302f7a12bbde416c154a44,29
25,1,30,7329,29918,0,2.3944289684295654,0.6796756982803345,0.018973015248775482,0.997917890548706,3,mbpp,code,mbpp,train_113,22e5948c9444f10ffe302f7a12bbde416c154a44,30
26,1,31,17028,17028,1,2.115645408630371,0.5572774410247803,0.8245376348495483,0.7937946915626526,3,mbpp,code,mbpp,train_113,22e5948c9444f10ffe302f7a12bbde416c154a44,31
1,1,0,4755,13,0,5.679567337036133,0.103363037109375,1.1165567636489868,0.7579330801963806,4,strategyqa,logic,tasksource/strategy-qa,d216d1e93117da3934e2,ede0c97325eb5951a7298c9a996f5760bff04bf0,0
2,1,1,1576,13,0,5.577561855316162,0.056533634662628174,2.1398215293884277,0.6003238558769226,4,strategyqa,logic,tasksource/strategy-qa,d216d1e93117da3934e2,ede0c97325eb5951a7298c9a996f5760bff04bf0,1
3,1,2,1576,29896,0,5.633779525756836,0.05706920847296715,3.56063175201416,0.2143733650445938,4,strategyqa,logic,tasksource/strategy-qa,d216d1e93117da3934e2,ede0c97325eb5951a7298c9a996f5760bff04bf0,2
4,1,3,29889,29889,1,2.531676769256592,0.2888222932815552,0.4615740478038788,0.9029698967933655,4,strategyqa,logic,tasksource/strategy-qa,d216d1e93117da3934e2,ede0c97325eb5951a7298c9a996f5760bff04bf0,3
4,2,4,450,4755,0,6.227062225341797,0.08595023304224014,2.1614737510681152,0.4537992775440216,4,strategyqa,logic,tasksource/strategy-qa,d216d1e93117da3934e2,ede0c97325eb5951a7298c9a996f5760bff04bf0,4
5,1,5,10292,10292,1,0.604667067527771,0.9405001997947693,0.0366072803735733,0.9960922598838806,4,strategyqa,logic,tasksource/strategy-qa,d216d1e93117da3934e2,ede0c97325eb5951a7298c9a996f5760bff04bf0,5
5,2,6,750,471,0,4.135563850402832,0.17767740786075592,0.9424319863319397,0.8151410222053528,4,strategyqa,logic,tasksource/strategy-qa,d216d1e93117da3934e2,ede0c97325eb5951a7298c9a996f5760bff04bf0,6
6,1,7,6345,6345,1,5.15277624130249,0.14667074382305145,1.774977207183838,0.39535704255104065,4,strategyqa,logic,tasksource/strategy-qa,d216d1e93117da3934e2,ede0c97325eb5951a7298c9a996f5760bff04bf0,7
6,2,8,297,297,1,1.9458621740341187,0.4551044702529907,0.13586673140525818,0.9800910353660583,4,strategyqa,logic,tasksource/strategy-qa,d216d1e93117da3934e2,ede0c97325eb5951a7298c9a996f5760bff04bf0,8
6,3,9,29871,29871,1,4.424016952514648,0.30324432253837585,0.4903257489204407,0.840247631072998,4,strategyqa,logic,tasksource/strategy-qa,d216d1e93117da3934e2,ede0c97325eb5951a7298c9a996f5760bff04bf0,9
6,4,10,29896,29896,1,0.21100901067256927,0.959718644618988,0.0009153031860478222,0.9999164342880249,4,strategyqa,logic,tasksource/strategy-qa,d216d1e93117da3934e2,ede0c97325eb5951a7298c9a996f5760bff04bf0,10
7,1,11,29946,29929,0,1.5351749658584595,0.6028894782066345,0.0016258223913609982,0.9998415112495422,4,strategyqa,logic,tasksource/strategy-qa,d216d1e93117da3934e2,ede0c97325eb5951a7298c9a996f5760bff04bf0,11
