source_type,dataset_name,num_tokens,text_hash
math,EleutherAI/hendrycks_math/precalculus/train,507,87d1ace860554a93532d2aee248b651559e27c74
json_config,OpenAssistant/oasst1/raw_json_rows,594,343dcdf2cc7191e573a13b103b33fde7d00d8be8
chat,OpenAssistant/oasst1,446,3985443acd99b9b33b76348a6cbbdfded509a593
code,code_search_net/python,302,e26942390bff738618f7baec90a51117040cf1ff
code,code_search_net/python,470,255bf3835d8d9e43bd78fc1e70992f9e2923b267
natural_language,wikitext/wikitext-103-raw-v1,876,71ef5786a9c2320774cc5b3278ac98012efd3d20
math,EleutherAI/hendrycks_math/intermediate_algebra/test,788,155b28391c18549451dcaead22501840940e9d6f
natural_language,wikitext/wikitext-103-raw-v1,860,ce23a71c550e5e1393fcd152c49ef0563c1466ff
natural_language,wikitext/wikitext-103-raw-v1,1800,0cc58e48fb51e33a8329a3542201ab14a2c8b4c7
math,EleutherAI/hendrycks_math/prealgebra/train,291,f8ce30e75749774ff9327ef8da8bce3b635379fe
natural_language,wikitext/wikitext-103-raw-v1,801,c9f764295723c8adf6c21b246bd181c8b48dfc45
natural_language,wikitext/wikitext-103-raw-v1,342,7cc06fdb15b5563171ebc26a0e650a81ea143794
json_config,OpenAssistant/oasst1/raw_json_rows,516,b041cc1f482be790e2e00fb522c03a2ce2380cde
chat,OpenAssistant/oasst1,592,785658111b2809c0e610819f2ed5cccd6d4e98c3
chat,OpenAssistant/oasst1,892,598fcc440a661e6994fd387b77cd854bc2bd7297
json_config,OpenAssistant/oasst1/raw_json_rows,612,232ed4060481a186398b37bf666dd3fc29a6dbcc
math,EleutherAI/hendrycks_math/intermediate_algebra/test,536,04df88a58984a26268655355e15030fa2f7b8c25
chat,OpenAssistant/oasst1,309,04b855cf4a5b6aaf43825999d6c5bc2a96e3f7ce
chat,OpenAssistant/oasst1,804,eb5f7a2877a1d2079203bd48dc8b41c18b1e5a04
json_config,OpenAssistant/oasst1/raw_json_rows,454,4afc68cd4ae6b3984ed8cb9a51f5eda3ab3f2d2d
json_config,OpenAssistant/oasst1/raw_json_rows,465,8e624abc4da5f5fc9ebdfb7c659788cfc21f2ac8
chat,OpenAssistant/oasst1,1074,8d0cb8e40f07a087fcdcdadd3678b693374ba8bc
natural_language,wikitext/wikitext-103-raw-v1,302,68e0b22848c169f501773b8d5cf148049fbb5f9d
chat,OpenAssistant/oasst1,655,64716a16f1c1f29b81dbda77781ad4d7b424fbcf
chat,OpenAssistant/oasst1,499,2c14d6eaa8492b73c52de090ea2da666549c376d
chat,OpenAssistant/oasst1,298,183e2070dcfa93dfe7a2568c51c45c864f295140
code,code_search_net/python,313,4cd09c0760d26a6540cfbd75382385052d303124
natural_language,wikitext/wikitext-103-raw-v1,387,7b1309191b1e0bb493390f86586b55448817134b
code,code_search_net/python,347,37258f88c53046e8b7c9877711d377066bd8bfaa
math,EleutherAI/hendrycks_math/intermediate_algebra/train,636,ced6efcd5e225e7dce48f3a6fe76a09a86b1e8ee
chat,OpenAssistant/oasst1,419,df06123a9e2a9a0233e8b238474a362585369547
chat,OpenAssistant/oasst1,320,1f7cc6a8b0757d9aceffe03517ce566f93d6257c
math,EleutherAI/hendrycks_math/algebra/test,360,e2037bd91d1548aa3c39c2b2285edb9a89127467
math,gsm8k/main/train,263,788dc42beaefe57459dbfdd61529163aa8081d86
json_config,OpenAssistant/oasst1/raw_json_rows,734,6535e77a874cef2d05e6f76eb1e9643dcfe953fc
json_config,OpenAssistant/oasst1/raw_json_rows,716,91ff88e94bc76e8d91f9e9582d9367b4885f65e3
chat,OpenAssistant/oasst1,441,113369486089a4e5f17357dd3d487173337314a9
json_config,OpenAssistant/oasst1/raw_json_rows,695,b9a1ac632489a941ee5ee839134356739aac1d0c
math,EleutherAI/hendrycks_math/number_theory/train,343,dbc5e686c7ef4d4a9ebc412462ea09a400b88818
code,code_search_net/python,482,4ce0d52b66646dbea8c22b227f9ad469b1824efe
math,gsm8k/main/train,280,30891e173297e19b6b113392771cba7fa0222bb8
code,code_search_net/python,259,ddf1b796eab98230914f3fe0b31a3c08ce7bab5c
natural_language,wikitext/wikitext-103-raw-v1,387,48df455b680d7125b3fcff053ddf9ceb96738d64
code,code_search_net/python,609,7bf8864a97f3d2507f72756e3f2e23f233eda320
code,code_search_net/python,4061,ea9a55f5efffab5a4b7706183212a83590ac3f67
code,code_search_net/python,559,52df30114c21b127b4c391a5445e90e6f88be368
json_config,OpenAssistant/oasst1/raw_json_rows,589,eed21f88d249be0d96c90429e4f423b031ec6d3d
natural_language,wikitext/wikitext-103-raw-v1,404,0f72809c1b3739bb02f5cac844e02caa3312e208
math,EleutherAI/hendrycks_math/number_theory/test,256,0155be50d39b20eff5b3208720ff1c2163b80797
natural_language,wikitext/wikitext-103-raw-v1,501,9f41ab0379269f83732f0e24e7a63697e3fa9e42
natural_language,wikitext/wikitext-103-raw-v1,887,07b60f6aaae3135778c28f14551c8c7b4d00c33d
natural_language,wikitext/wikitext-103-raw-v1,835,494be3c49c050f0a1fd832e75216a12eedf01a5a
chat,OpenAssistant/oasst1,640,5512251ec15d4be1dc5660d239d27c570723571c
chat,OpenAssistant/oasst1,307,a0b40f4bfdaa67b4268f90a649023dca2d355961
natural_language,wikitext/wikitext-103-raw-v1,681,77521518ee428b0c0bf508c640b4f0650769377b
json_config,OpenAssistant/oasst1/raw_json_rows,534,3f9861db96688febf12726f0e92593ed4d41a72b
natural_language,wikitext/wikitext-103-raw-v1,327,b07922b8aa43426a39415d6c3b306ed3b2f07f62
json_config,OpenAssistant/oasst1/raw_json_rows,666,46e0f232ef8cf580482ee32a544b4bea1dbe94e5
natural_language,wikitext/wikitext-103-raw-v1,610,2f78508dda78241e9c2a077153d37fc5d38496fa
json_config,OpenAssistant/oasst1/raw_json_rows,430,9ecbf86ac2145b080372e5a39c57f048606beb14
chat,OpenAssistant/oasst1,807,1c5cd8038b9f40b768f9b371e70e76d6565ff2b5
code,code_search_net/python,470,eb7170cadf98110b2656059ad7e3ac5e6242ba1b
json_config,OpenAssistant/oasst1/raw_json_rows,525,d0b0b344a9ee2b5bfe18d0c5f7bde4b72d48fd99
code,code_search_net/python,1142,c536b0bc58496821f5def1bed2155b0c038ab7b3
math,EleutherAI/hendrycks_math/number_theory/test,784,2588580a2a60cb3a681de021e8580d3a0eb202a5
natural_language,wikitext/wikitext-103-raw-v1,655,cd509d695562c9c1fbf534ea8e1c93658e8fe20c
natural_language,wikitext/wikitext-103-raw-v1,362,a20eacfaf80b0b37544568b4c3673128f3c630a6
natural_language,wikitext/wikitext-103-raw-v1,491,13ee27c6c3c0b3672c9d3a1ee1b5ac1ca1b94536
json_config,OpenAssistant/oasst1/raw_json_rows,536,4e67d0728419476c279bb8c3d75d6637186bad5e
code,code_search_net/python,569,eb8404d06420454a27e1e6f115f9600930e9bd50
json_config,OpenAssistant/oasst1/raw_json_rows,555,cea56c7a393d44068a07ba3b44f422ab8ee0609d
chat,OpenAssistant/oasst1,430,e0a906c6a53e9d8f28a1ec089579bbaabac4607b
math,EleutherAI/hendrycks_math/counting_and_probability/test,259,0fcefa863f221d8be897e425d82d545f917a384e
json_config,OpenAssistant/oasst1/raw_json_rows,532,4eb6e63e4ec57b711b380e0193d0737f8c3f78ab
math,EleutherAI/hendrycks_math/intermediate_algebra/train,349,ad913dc31f9a10ea40dac3b85dbb42d97ce558ca
json_config,OpenAssistant/oasst1/raw_json_rows,747,0b396b6920e6c84eba592a48af5006b04aa93fa0
chat,OpenAssistant/oasst1,269,fdf9361859e8e722cb15e91126343da97d7313b3
natural_language,wikitext/wikitext-103-raw-v1,325,aefc266e5b046b57165f2e05924e43cd8c061108
json_config,OpenAssistant/oasst1/raw_json_rows,709,2a950c9a7cf78e57e031e0271ba87ec911113a17
json_config,OpenAssistant/oasst1/raw_json_rows,784,247b9e826bf225d117334a1197e16ce3fa759e97
natural_language,wikitext/wikitext-103-raw-v1,741,e6bdb63a9b046fefdd9bc10c8c6dabce4fa34d34
math,EleutherAI/hendrycks_math/intermediate_algebra/test,895,72052f06870e5efb2f439009f05830196d4aa50f
json_config,OpenAssistant/oasst1/raw_json_rows,742,1287ac012795fce4ae40336490bbc1a721d5e3ae
json_config,OpenAssistant/oasst1/raw_json_rows,548,85d1482ed9cb3e768b42be7ecb3230f807dd9d50
natural_language,wikitext/wikitext-103-raw-v1,359,60ade490980537f3595a6f516f29aeabcb5775e7
natural_language,wikitext/wikitext-103-raw-v1,325,fd41987fd41f3420b73e6233430f3e0cd8e7cc6a
math,EleutherAI/hendrycks_math/intermediate_algebra/test,410,a4035af380bb5adb93b12b5c90e535e556d0b95b
json_config,OpenAssistant/oasst1/raw_json_rows,569,1135be52bd9e1be28824fed372b94a565a2e9da3
chat,OpenAssistant/oasst1,713,0d150e74631a0b12bfad85ab05f723a786cc17f8
natural_language,wikitext/wikitext-103-raw-v1,426,15d39d79b9779b8f41d50e5e62db8353ebf93417
chat,OpenAssistant/oasst1,303,04cf1cb4d147976891aad9f50e08aa0a2d3cf4a3
math,EleutherAI/hendrycks_math/geometry/train,700,49b72a837a09d45f2d76f7b8ea237d6c2d88584c
json_config,OpenAssistant/oasst1/raw_json_rows,468,103526f1581126edabfc8fa10b054676bc6d5f17
chat,OpenAssistant/oasst1,556,f2075e8e8f6b9fd27c2112929d908a287365663c
natural_language,wikitext/wikitext-103-raw-v1,1303,c39df69c3306b98b3c24e091e379f822ccca5885
code,code_search_net/python,542,821c917f97add50da9b3e6d87273139e302b33d5
chat,OpenAssistant/oasst1,389,e1bf9cff35ef4d375d2641ffafb8aad5ffbdd373
chat,OpenAssistant/oasst1,327,45b16fc8d13fe943179aa9fb8aaeff4bb5c9d00a
math,EleutherAI/hendrycks_math/intermediate_algebra/test,594,71802ac2796cd174be8d75377f5577fba059004d
chat,OpenAssistant/oasst1,602,8501805c285c79d9c8667dc3aa0463a4c0eb732f
json_config,OpenAssistant/oasst1/raw_json_rows,667,d61dd5ea28d2ef86ccca1fd43e7368d61ba34d32
code,code_search_net/python,564,26ff7b9f152d4d2f85ec633b3b414b21cfc55d42
json_config,OpenAssistant/oasst1/raw_json_rows,935,99c3a3111d68d8270ecf4ca5f958cf0289aa0a68
chat,OpenAssistant/oasst1,991,7d6af4e4660ac012747a1f68ac34f6b10a7494f4
code,code_search_net/python,635,a35a69003edc109bf2bed7191c3d71b12b532ee6
math,gsm8k/main/train,335,7f542ecdc1f9ff6231af48714761ce1ed55a6896
code,code_search_net/python,1837,52921afc039739d9cba727cf88d9d5d7f03252b6
code,code_search_net/python,346,6fae71b83201fb8897964288967085ff154dbf29
json_config,OpenAssistant/oasst1/raw_json_rows,772,4e716ae55c160b1241e9910600cde54d00ff0a8d
chat,OpenAssistant/oasst1,928,594015b2d74a7934100001e531d0e49f21ca5713
code,code_search_net/python,1091,f051e8e47bf2434df19d441dae56bbcc7a47b23e
json_config,OpenAssistant/oasst1/raw_json_rows,802,4b1939f76d9a92da7d69e925bf1e24c3921ecaa2
math,gsm8k/main/train,275,440d7d30c6e6d3b9bb4ba8a27aa54b036756f63d
natural_language,wikitext/wikitext-103-raw-v1,959,0be1d29318bc3cd4308931ac3382d2d9b413c8e6
chat,OpenAssistant/oasst1,611,79e166441f7eeb571a4d2b0fbaf19ca75fea0c5e
json_config,OpenAssistant/oasst1/raw_json_rows,693,fe06b626c1d1e53a0c27bfbeba7b4f2c4ec42688
natural_language,wikitext/wikitext-103-raw-v1,736,6cc644ac62473ad92f08b1b717727acce87492f8
chat,OpenAssistant/oasst1,453,3c31f112f577522b5cf01980d8a10cdddbce40ff
chat,OpenAssistant/oasst1,439,68f6cfe56d03487fccd5f8f4796310866044aae0
chat,OpenAssistant/oasst1,642,0586178071ec804449576bcd7538ac4d49b94810
chat,OpenAssistant/oasst1,286,8337150271b31be8e02232400f8c48551089e8ea
natural_language,wikitext/wikitext-103-raw-v1,467,4f37ae4ec8ffb3e425b16cb53686df886c0e94ea
json_config,OpenAssistant/oasst1/raw_json_rows,520,f529c9c53ea714bb471daf2234deee5af88e2fc7
code,code_search_net/python,743,fc8c0ab8acd8721cfe9cb0b4c9f8ff22fc020ad7
json_config,OpenAssistant/oasst1/raw_json_rows,438,24ef1934a11d6ebeb46af52ce157b053c3f590ae
math,EleutherAI/hendrycks_math/precalculus/train,608,6e9e95f7f10bf20889e403ba47d9c8a5012c9d79
code,code_search_net/python,1769,7173f60613d3ca1cf75e372dc357eec81bcdb5bf
json_config,OpenAssistant/oasst1/raw_json_rows,943,c04f4fa6e1544538f0e4529e497ec43f960c67ae
code,code_search_net/python,1105,c21925a2d00617d17ad64825055f77e1b8017fad
json_config,OpenAssistant/oasst1/raw_json_rows,526,2438c856fc3de14c6512cceefda73b36bb899ef5
json_config,OpenAssistant/oasst1/raw_json_rows,552,80f4f7985b34a8db683649cc4c8f0b278a2b7d98
natural_language,wikitext/wikitext-103-raw-v1,670,be3b8f59f72140e828a5998707ee63b126be17a8
code,code_search_net/python,354,51c1152a47087fb78214fd6c41e9e6b80df7d8d3
code,code_search_net/python,523,89f872edec7c060a8e6104f45bf251ac507061b7
math,EleutherAI/hendrycks_math/prealgebra/test,543,c27399469a6dacc07459e59c29e987e9129e9a6a
natural_language,wikitext/wikitext-103-raw-v1,294,5b406f9ba8ff33cc0c4c9a2076540d66cf34b349
chat,OpenAssistant/oasst1,671,aefbd5a5e96fa746fc17263ceef929eb7e6c2793
natural_language,wikitext/wikitext-103-raw-v1,554,6f116ceec9ae597bb5f160144e2c61b4550ed2a7
code,code_search_net/python,281,024ea80346c386aa1d19c049f0ea2bee50e6365e
math,EleutherAI/hendrycks_math/number_theory/train,380,35e9be34be2aa43ea42bab4183fd2eed89348b70
chat,OpenAssistant/oasst1,463,391ec1847d192844236b4ee7f19af849bb70bfad
natural_language,wikitext/wikitext-103-raw-v1,311,44904759c515357665115411cab01593c42cbd77
code,code_search_net/python,424,464f6726d3e0c3ea6e56d251fcda738f8a6128e7
math,EleutherAI/hendrycks_math/precalculus/test,339,9757aca5d69f5c2d4ba9be42ce7c970dadc4bb5d
code,code_search_net/python,3018,88b894837bc559e9cfbb76d752c1d0fa4bacb5e3
natural_language,wikitext/wikitext-103-raw-v1,316,aac94f48f31d3db98e5e4b57728a9c0ef0895a93
code,code_search_net/python,365,ca017ebd0e12a25552414e2440ef8029bebac2a2
natural_language,wikitext/wikitext-103-raw-v1,274,40126cfab7b64baa86d4570936588709a7a9287a
json_config,OpenAssistant/oasst1/raw_json_rows,676,3e0f4143d0e3105c87fffc2fc88de315e01d5669
code,code_search_net/python,285,4e770ed131143342cfeeef6d47a7d5621185e88e
natural_language,wikitext/wikitext-103-raw-v1,342,f6530ebb2ddc32f0de2db07f859cc76c6f7d8960
json_config,OpenAssistant/oasst1/raw_json_rows,592,48a6a055d5d7c66a78db3d480e4b5e5c77a135e9
math,EleutherAI/hendrycks_math/counting_and_probability/train,1099,9da4e9c856bf7bf002629bd66402674afd801519
chat,OpenAssistant/oasst1,306,3af1026ad85f234c64e767ffa93c4946bc877fdf
chat,OpenAssistant/oasst1,408,9822d97dbaa629e7d06510171125f1d65878a802
code,code_search_net/python,775,6ffd652f04b83431d91c824e9cd788b4544e50c9
code,code_search_net/python,425,e952c61bc3d8b13d0e685357fff1f2ee2361f90c
chat,OpenAssistant/oasst1,476,e1ebd06530dea6c9af8b32c0adc9a0208d66f15b
code,code_search_net/python,359,3a2f61fb83a339e00b447529c7bdbd0e4ee76ce4
math,EleutherAI/hendrycks_math/intermediate_algebra/train,369,27d837bfff0a9ad76d486426c4959b647257d3f6
math,gsm8k/main/train,394,18083fde19a8fbe98ebab378ebfe9c17a816e69c
json_config,OpenAssistant/oasst1/raw_json_rows,579,0bc437036b720005969baed4a31917bb1ca4e9a2
json_config,OpenAssistant/oasst1/raw_json_rows,686,0546ad44c6d25767fa5bc7d4a68ed0c4253ed976
chat,OpenAssistant/oasst1,289,07a9cdfaed72be6912b8c922337022c796bfb4f2
json_config,OpenAssistant/oasst1/raw_json_rows,486,4c0e1c2b48f1754f9c90e8af8985fae39dac2de8
natural_language,wikitext/wikitext-103-raw-v1,280,b8911ed8a57f00cd2760357467dfc86fcc316c16
math,EleutherAI/hendrycks_math/counting_and_probability/test,388,b7a54b7331381ad522b63fddbdfa68bf93ad144b
code,code_search_net/python,377,175c4a0f8ec0718164c35f9c57718536503e513e
chat,OpenAssistant/oasst1,646,53acbb0e5dfb34761248b559885425fa6348af40
natural_language,wikitext/wikitext-103-raw-v1,310,28c85c2f4b3050afcbc83fb19aa501b73aac06a9
code,code_search_net/python,361,7a4e1295227f96f3277b2fd38ed66ef242b3c234
natural_language,wikitext/wikitext-103-raw-v1,385,9f5bc8dc048aafce58190b19d40cd0b337962ad3
math,EleutherAI/hendrycks_math/intermediate_algebra/train,616,8061becc5a7b00e5695900076fde6afa1292261f
math,gsm8k/main/train,362,0649a812ceabfbc3a7384cae9ffe8c71feaad73b
json_config,OpenAssistant/oasst1/raw_json_rows,480,1a0160768401eba95b9ddd518e3038351246b47b
code,code_search_net/python,865,b70ad31c2a29660c6f79ed0cc9bb06eb15568a5c
math,gsm8k/main/train,261,46dc5c69a9b14a8ba859af19569359e02416b603
math,EleutherAI/hendrycks_math/intermediate_algebra/test,380,56470547f72ac4c7591da43d48c7ec0b61fe99cc
math,gsm8k/main/test,259,6fe834041d3ed9ef164b0ad93e7afc75e21fb689
math,gsm8k/main/train,294,e35c0b3e271b5322c26427521ddbdd0c1966b2d9
json_config,OpenAssistant/oasst1/raw_json_rows,522,72206c487f478cda80e7fc16af9fba113873c16a
json_config,OpenAssistant/oasst1/raw_json_rows,589,1d2493d213e28b0e87b4e5190fbc7867f2e7593b
math,gsm8k/main/train,378,ac897443262843a37afab32099cdfecadd7e23e9
natural_language,wikitext/wikitext-103-raw-v1,330,a7534b04122aa11162b9fe8e3c6191530476fc2c
chat,OpenAssistant/oasst1,336,51f86e1b17ca46f9f590ed55bb9ce541d0a3f932
code,code_search_net/python,280,fb5d398fd5a32dac2cbcf81508d728000bb7ee91
chat,OpenAssistant/oasst1,401,76f7ba35bacff202b183586fb5fe2a44bc5c7b74
code,code_search_net/python,264,27e9b86089b70a1a4fc6e6fefb4350d870d6ac1b
chat,OpenAssistant/oasst1,523,e0bba2ab4946ccc042e91cec4557e726c3dab986
math,EleutherAI/hendrycks_math/intermediate_algebra/test,452,ea4bc27f82d08f204605cddd556801d12bbf6691
code,code_search_net/python,261,05311e7df60cc702c7045b515155d408a33e2bc4
natural_language,wikitext/wikitext-103-raw-v1,1354,72fb013cd6739f4d47743a6086666bdbaf9ace9c
math,EleutherAI/hendrycks_math/number_theory/train,271,81a56488ce10919563f1a56872f276fd2040fcde
natural_language,wikitext/wikitext-103-raw-v1,306,64c098cee6fc5e28f67b699b1be94e0e0a6f18c7
json_config,OpenAssistant/oasst1/raw_json_rows,908,5ff466c0c345f269235340312e796c0196ffd04d
code,code_search_net/python,263,1450c82d63978a7fbd670034c98946b981ed7e81
natural_language,wikitext/wikitext-103-raw-v1,445,8f9fc33c37176d7cd407ac5126fabe9ab7082eee
json_config,OpenAssistant/oasst1/raw_json_rows,503,b3149f806c147c3f7a917a38e47708af3bed9056
code,code_search_net/python,628,299e8ddbf4903d256dd28a520def3564bb4f7e6a
chat,OpenAssistant/oasst1,515,8ccf771395317bb17940e78c62e72e920a0d5b45
natural_language,wikitext/wikitext-103-raw-v1,1161,6af2448f9ff4fdfe1527006d86fc2e0a15bd9ad1
math,gsm8k/main/test,282,929fd47f84f150a86a117d2bf1bca334fc6143ab
json_config,OpenAssistant/oasst1/raw_json_rows,602,2dafc5e049f64c3d008d9ebb8714faa336b942fd
json_config,OpenAssistant/oasst1/raw_json_rows,553,30310402692f5c4a0a7f4e31fcd6c06b7dac943b
natural_language,wikitext/wikitext-103-raw-v1,1475,a1786573d39c67327da32f5c2bfc1f68a2a9e5f9
json_config,OpenAssistant/oasst1/raw_json_rows,486,8c7b00c223b1c77bdb896235f3c5b4c22a92f267
chat,OpenAssistant/oasst1,595,f569be26fcbf70e155a314af9799c85399cdb36d
json_config,OpenAssistant/oasst1/raw_json_rows,674,0b61e345d5be5541df81b75e1c0cf1cf1add875e
natural_language,wikitext/wikitext-103-raw-v1,275,63600f78754d7f4ab36848c3dff2f272c0704717
json_config,OpenAssistant/oasst1/raw_json_rows,514,88da11636c4d53c19eb761b5175f977a348d57bc
chat,OpenAssistant/oasst1,530,347e2964ed6676b4b0634b5735dfba13e30974b5
chat,OpenAssistant/oasst1,896,4fbd73a65661b52d9bd2541b045033cc9bdd97da
math,EleutherAI/hendrycks_math/intermediate_algebra/train,458,8e1de630a377b97875c2af19b4a4747d24113258
code,code_search_net/python,268,1a3bd13125545217017c70fc080765edcc37bc54
chat,OpenAssistant/oasst1,1078,bda0b11937b168015de35d2a400821023ca80a31
json_config,OpenAssistant/oasst1/raw_json_rows,716,49cd80d55d0b8735501a656989eff31c2521cec0
json_config,OpenAssistant/oasst1/raw_json_rows,583,9ef69c2ffd6dd457998ae7eb401f09ef4a0b3af8
code,code_search_net/python,490,bca749dae6035ab7bc415766bfa8c0ea7123a3aa
chat,OpenAssistant/oasst1,290,1678f98e2d1a5e43ba4ed1da86f5ca810c6a9616
json_config,OpenAssistant/oasst1/raw_json_rows,959,6ed0ee986645a30db4004a294a0facda65d21bff
chat,OpenAssistant/oasst1,292,1c3793f6d7ea7f1eef9d99dbf8ccd161b9143be2
code,code_search_net/python,270,4204d072f7d3a76991c63b48d99ed75107c167ca
json_config,OpenAssistant/oasst1/raw_json_rows,500,076e75a6ce04aee476c39e7d843962bc06010b43
code,code_search_net/python,852,1b835d1b0a86412220cb53a0d94a77801a27ef3a
natural_language,wikitext/wikitext-103-raw-v1,498,d06f96b86415c4b5ab934ea84d0d44ad67ff080d
code,code_search_net/python,601,4d46c90cd5f3332cfc7e6cdd2dbe2365b745260c
math,EleutherAI/hendrycks_math/intermediate_algebra/train,310,81e02bc0a63c6977ee43980c29951c91163e2a43
json_config,OpenAssistant/oasst1/raw_json_rows,719,59b1b9c3df491fdd37a77c67142464ce0a0fc723
math,EleutherAI/hendrycks_math/intermediate_algebra/test,374,20d9dc6c44258ae598d45e32bdad6fecacd0f296
natural_language,wikitext/wikitext-103-raw-v1,553,24c71bff569673eca4050c33a4a176241b229d52
natural_language,wikitext/wikitext-103-raw-v1,394,7ea80aac534a5667c359314955c17abd420af548
math,EleutherAI/hendrycks_math/prealgebra/test,298,edd061d8896be37c94174ddc21ef697e13e8f738
math,gsm8k/main/train,336,ac9ce0ac77448e267366036956e802380074fb0c
